Year,GDP Nominal (Current USD),GDP Real (Inflation adj.),GDP change (%),GDP per capita (USD),Population change (%),Population
2022,832421565,792666457,-6.02,3682,0.69,215261
2021,843850778,843459694,-7.08,3945,0.87,213779
2020,868898350,907771570,-3.11,4283,1.03,211944
2019,912950619,936894408,4.45,4466,1.06,209780
2018,878448440,896962886,-0.61,4321,1.05,207582
2017,884844420,902464736,1.41,4393,0.94,205415
2016,843924751,889949532,7.98,4373,0.85,203499
2015,824150487,824150487,3.85,4084,0.87,201782
2014,796683673,793594238,0.66,3967,0.89,200037
2013,797736266,788391455,0.11,3976,0.9,198268
2012,773141695,787546471,-3.73,4008,0.92,196498
2011,744096949,818078215,3.85,4201,0.88,194713
2010,680260920,787756840,6.12,4081,0.79,193023
2009,628006115,742293446,-0.54,3876,0.74,191513
2008,641346192,746336182,3.56,3926,0.72,190107
2007,573548460,720707083,0.49,3818,0.56,188753
2006,499923758,717221512,2.13,3821,0.39,187709
2005,476801793,702248677,6.64,3756,0.39,186978
2004,407747521,658527683,3.09,3536,0.44,186249
2003,333426145,638806077,5.21,3445,0.52,185430
2002,281790139,607157224,5.65,3291,0.71,184471
2001,266299592,574676730,7.39,3137,0.82,183166
2000,258856140,535129937,5.09,2945,0.78,181685
1999,255408053,509196340,2.19,2825,0.77,180275
1998,269485285,498306185,2.19,2785,0.76,178905
1997,285475621,487603819,0.64,2746,0.84,177547
1996,249907894,484486512,7.18,2752,0.86,176071
1995,224865731,452035056,6.67,2589,0.82,174571
1994,221098107,423755150,-2.54,2447,0.81,173159
1993,133122897,434808416,4.1,2531,0.85,171774
